age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,weight
37,admin.,married,secondary,no,96,no,no,cellular,7,aug,155,1,99,2,success,1,1
32,management,single,tertiary,no,0,no,no,cellular,22,aug,148,2,-1,0,unknown,0,1
37,management,married,secondary,no,5447,yes,yes,cellular,17,nov,1789,1,-1,0,unknown,1,1
55,management,divorced,tertiary,no,668,no,no,cellular,28,aug,25,6,-1,0,unknown,0,1
28,housemaid,married,secondary,yes,65,yes,yes,cellular,13,may,165,1,300,1,failure,0,1
33,admin.,single,secondary,no,289,no,no,cellular,3,feb,515,3,6,13,other,0,1
52,technician,married,tertiary,no,214,no,no,cellular,29,aug,161,3,-1,0,unknown,0,1
34,management,married,secondary,no,15,no,no,cellular,25,aug,184,7,-1,0,unknown,0,1
46,management,married,secondary,no,5127,no,no,cellular,6,aug,472,1,-1,0,unknown,0,1
22,technician,single,secondary,no,333,no,yes,telephone,12,nov,129,1,-1,0,unknown,0,1
41,entrepreneur,married,primary,no,0,yes,yes,cellular,18,nov,311,1,-1,0,unknown,0,1
24,technician,single,secondary,no,726,no,no,cellular,8,sep,445,2,-1,0,unknown,1,1
37,blue-collar,married,primary,no,1322,yes,no,cellular,21,nov,14,8,185,1,other,0,1
34,technician,married,secondary,no,149,yes,no,unknown,29,may,153,2,-1,0,unknown,0,1
32,admin.,married,secondary,no,51,yes,yes,cellular,7,jul,297,1,-1,0,unknown,1,1
39,admin.,married,secondary,no,651,yes,no,cellular,22,jul,608,3,-1,0,unknown,0,1
32,admin.,single,tertiary,no,594,yes,no,unknown,13,may,134,2,-1,0,unknown,0,1
53,technician,divorced,tertiary,no,647,yes,no,unknown,16,may,512,6,-1,0,unknown,0,1
26,blue-collar,single,secondary,no,184,no,no,cellular,3,feb,110,2,6,1,other,0,1
33,management,single,tertiary,no,3655,no,no,cellular,19,aug,183,20,-1,0,unknown,0,1
45,blue-collar,married,secondary,no,7895,yes,no,cellular,4,feb,872,1,-1,0,unknown,1,1
49,management,single,tertiary,no,1093,yes,no,cellular,18,nov,152,1,-1,0,unknown,0,1
62,retired,married,secondary,no,243,no,no,cellular,25,jan,117,1,280,1,success,0,1
36,management,married,tertiary,no,105,no,no,cellular,28,jan,76,1,-1,0,unknown,0,1
32,self-employed,divorced,tertiary,no,3271,no,no,cellular,12,aug,162,1,100,3,success,0,1
37,management,married,tertiary,no,1170,no,yes,unknown,17,jun,153,3,-1,0,unknown,0,1
45,services,married,primary,no,132,no,no,cellular,14,jul,179,2,-1,0,unknown,0,1
51,retired,married,primary,no,34,yes,no,cellular,16,jul,69,2,-1,0,unknown,0,1
32,technician,married,secondary,no,175,yes,no,unknown,13,may,142,1,-1,0,unknown,0,1
43,entrepreneur,single,tertiary,no,744,no,yes,cellular,29,jul,619,4,-1,0,unknown,0,1
54,admin.,divorced,secondary,no,1383,yes,yes,cellular,30,jul,622,4,-1,0,unknown,0,1
32,technician,married,secondary,no,-360,yes,no,cellular,6,may,131,2,344,2,failure,0,1
40,admin.,single,secondary,no,-1,no,no,cellular,7,jul,173,1,-1,0,unknown,0,1
30,management,married,tertiary,no,3330,no,no,cellular,7,aug,109,6,-1,0,unknown,0,1
36,admin.,married,secondary,no,1314,yes,no,cellular,17,jul,330,3,-1,0,unknown,0,1
53,blue-collar,single,secondary,no,5715,no,no,cellular,28,jan,287,2,-1,0,unknown,0,1
35,management,single,tertiary,no,687,yes,no,unknown,30,may,166,2,-1,0,unknown,0,1
31,technician,single,tertiary,no,418,no,no,cellular,7,aug,67,6,-1,0,unknown,0,1
34,blue-collar,married,primary,no,-204,yes,no,cellular,14,may,61,6,-1,0,unknown,0,1
33,management,married,tertiary,no,452,yes,no,cellular,29,aug,168,2,-1,0,unknown,0,1
37,blue-collar,single,secondary,no,5818,no,no,unknown,17,jun,652,2,-1,0,unknown,0,1
47,services,divorced,secondary,no,-116,no,yes,cellular,25,jul,160,3,-1,0,unknown,0,1
28,blue-collar,single,tertiary,no,1984,yes,no,cellular,4,may,32,2,14,1,failure,0,1
30,student,single,secondary,no,48,no,no,cellular,25,feb,217,1,191,2,success,1,1
32,management,married,tertiary,no,92,no,no,unknown,3,jul,116,1,-1,0,unknown,0,1
27,technician,single,secondary,no,357,yes,no,unknown,29,may,382,3,-1,0,unknown,0,1
50,technician,divorced,secondary,no,1591,no,no,cellular,4,aug,209,1,-1,0,unknown,0,1
47,retired,divorced,tertiary,no,1431,yes,no,cellular,30,apr,127,1,-1,0,unknown,0,1
41,blue-collar,married,primary,no,89,yes,no,cellular,15,may,58,3,359,2,other,0,1
33,technician,married,secondary,no,241,yes,no,cellular,13,may,1108,3,-1,0,unknown,0,1
59,self-employed,married,tertiary,no,0,yes,no,cellular,23,jul,256,1,-1,0,unknown,0,1
71,retired,married,primary,no,2600,no,no,cellular,13,nov,186,2,98,1,success,1,1
54,retired,married,secondary,no,3671,no,no,unknown,11,jun,67,3,-1,0,unknown,0,1
31,management,married,tertiary,no,6980,no,no,cellular,12,aug,157,2,-1,0,unknown,0,1
60,management,married,primary,no,703,yes,no,unknown,14,may,378,1,-1,0,unknown,0,1
34,management,single,tertiary,no,1350,yes,no,unknown,21,may,68,1,-1,0,unknown,0,1
19,student,single,secondary,no,626,no,no,telephone,15,apr,117,1,-1,0,unknown,0,1
53,blue-collar,married,secondary,no,380,yes,yes,cellular,6,may,42,1,302,1,failure,0,1
39,self-employed,divorced,tertiary,no,1415,no,no,unknown,17,jun,134,1,-1,0,unknown,0,1
32,technician,single,secondary,no,562,yes,no,unknown,30,may,722,3,-1,0,unknown,1,1
46,management,divorced,secondary,no,558,no,no,cellular,19,aug,126,6,-1,0,unknown,0,1
34,blue-collar,married,secondary,no,328,yes,yes,cellular,21,nov,18,7,-1,0,unknown,0,1
33,housemaid,married,tertiary,no,10,yes,no,cellular,20,apr,129,1,322,2,failure,0,1
35,blue-collar,married,primary,no,443,yes,no,cellular,17,apr,185,2,316,3,other,0,1
45,self-employed,married,tertiary,no,-312,no,no,telephone,18,nov,46,4,-1,0,unknown,0,1
48,unemployed,married,secondary,no,926,no,no,cellular,12,aug,504,2,178,10,success,1,1
60,unknown,married,unknown,no,652,no,no,unknown,19,jun,525,1,-1,0,unknown,0,1
36,admin.,married,secondary,no,498,yes,no,cellular,29,jan,151,1,253,1,failure,0,1
28,management,single,tertiary,no,233,no,no,telephone,2,feb,51,2,-1,0,unknown,0,1
35,technician,married,tertiary,no,2188,yes,no,unknown,3,jun,680,2,-1,0,unknown,0,1
50,services,married,secondary,no,683,yes,yes,unknown,26,may,129,3,-1,0,unknown,0,1
34,blue-collar,divorced,secondary,no,1780,yes,no,unknown,2,jun,187,9,-1,0,unknown,0,1
32,management,married,tertiary,no,4761,yes,no,cellular,5,may,159,2,350,2,failure,0,1
59,retired,married,unknown,no,1491,no,no,unknown,9,jun,157,2,-1,0,unknown,0,1
37,technician,married,secondary,no,1458,no,no,cellular,30,apr,281,1,-1,0,unknown,1,1
50,blue-collar,married,secondary,no,464,no,yes,unknown,6,jun,426,2,-1,0,unknown,0,1
33,technician,single,tertiary,no,436,no,no,cellular,28,aug,258,8,-1,0,unknown,0,1
34,entrepreneur,married,secondary,no,455,yes,no,cellular,20,nov,88,1,-1,0,unknown,0,1
31,blue-collar,married,primary,no,124,yes,no,cellular,3,feb,343,1,264,4,failure,0,1
31,management,single,tertiary,no,7444,yes,yes,unknown,8,may,20,1,-1,0,unknown,0,1
26,blue-collar,married,secondary,no,818,no,no,cellular,9,jul,226,2,-1,0,unknown,0,1
53,technician,married,tertiary,no,856,yes,no,cellular,4,feb,102,2,-1,0,unknown,0,1
49,management,married,tertiary,no,412,no,no,cellular,21,nov,233,1,-1,0,unknown,0,1
71,retired,married,secondary,no,29941,no,no,telephone,18,jun,80,1,71,3,other,0,1
59,retired,divorced,tertiary,no,1197,yes,no,unknown,9,jun,329,4,-1,0,unknown,0,1
31,technician,single,secondary,no,433,no,no,cellular,11,aug,1504,2,-1,0,unknown,0,1
57,management,married,tertiary,no,16,no,no,cellular,21,aug,200,3,-1,0,unknown,0,1
42,management,married,secondary,no,-105,yes,no,cellular,28,aug,60,2,-1,0,unknown,0,1
36,services,single,secondary,no,-330,yes,no,unknown,27,may,256,2,-1,0,unknown,0,1
37,admin.,married,secondary,no,960,no,no,telephone,18,nov,50,3,-1,0,unknown,0,1
52,entrepreneur,married,secondary,no,10,no,yes,cellular,17,jul,72,3,-1,0,unknown,0,1
44,management,single,tertiary,no,1090,no,no,cellular,20,oct,178,4,93,6,success,1,1
52,technician,married,secondary,no,2944,no,no,cellular,22,aug,22,18,-1,0,unknown,0,1
34,technician,married,tertiary,no,1611,yes,no,cellular,11,may,490,2,-1,0,unknown,0,1
36,services,married,secondary,no,4721,no,no,cellular,9,dec,149,3,-1,0,unknown,1,1
43,management,married,tertiary,no,703,yes,no,cellular,12,may,67,1,-1,0,unknown,0,1
39,management,divorced,tertiary,no,5009,yes,no,cellular,15,jul,1083,2,-1,0,unknown,0,1
38,admin.,married,secondary,no,1344,yes,yes,unknown,19,may,147,2,-1,0,unknown,0,1
30,technician,married,secondary,no,574,no,no,cellular,13,aug,394,4,-1,0,unknown,0,1
46,self-employed,married,secondary,no,390,yes,no,cellular,31,jul,208,2,-1,0,unknown,0,1
22,student,single,secondary,no,216,no,no,cellular,8,feb,363,1,187,1,success,1,1
38,management,single,tertiary,no,493,yes,no,cellular,11,may,553,1,367,7,failure,0,1
40,management,married,tertiary,no,543,yes,no,cellular,2,feb,349,2,262,275,other,0,1
44,admin.,divorced,secondary,no,776,yes,no,unknown,3,jun,150,1,-1,0,unknown,0,1
40,blue-collar,married,unknown,no,486,yes,no,unknown,20,may,97,8,-1,0,unknown,0,1
51,technician,divorced,secondary,no,329,yes,no,unknown,28,may,191,5,-1,0,unknown,0,1
29,management,single,tertiary,no,36252,yes,no,cellular,30,apr,501,1,-1,0,unknown,1,1
50,blue-collar,married,primary,no,216,yes,no,telephone,13,may,137,1,369,2,failure,0,1
33,admin.,married,secondary,no,4012,no,yes,unknown,8,may,337,4,-1,0,unknown,0,1
30,services,married,secondary,no,586,yes,no,cellular,20,nov,148,6,176,4,failure,0,1
